,Total Population,State,PUMA,Male Polulation,Female Population,Grandparents Living With Grandchildren,Grandparents Responsible for Grandchildren,Childcare Employees Total
0,tabulate,state,public use microdata area,tabulate,tabulate,tabulate,tabulate,tabulate
601,131677,16,00500,64854,66823,857,714,685
602,139023,16,00600,70802,68221,368,119,1601
603,0,16,00700,0,0,0,0,0
604,125750,16,00800,65178,60572,303,136,969
605,110024,16,00900,54701,55323,411,212,467
606,0,17,00101,0,0,0,0,0
607,0,17,00102,0,0,0,0,0
608,0,17,00103,0,0,0,0,0
609,0,17,00200,0,0,0,0,0
610,108222,17,00300,54593,53629,413,156,738
611,0,17,00400,0,0,0,0,0
612,0,17,00500,0,0,0,0,0
613,98970,17,00600,48621,50349,379,198,678
614,105019,17,00700,53910,51109,338,248,633
615,131081,17,00800,65121,65960,554,251,697
616,184011,17,00900,92128,91883,607,424,1661
617,0,17,01000,0,0,0,0,0
618,0,17,01101,0,0,0,0,0
619,0,17,01102,0,0,0,0,0
620,0,17,01201,0,0,0,0,0
621,0,17,01202,0,0,0,0,0
622,195897,17,01300,93897,102000,831,655,1193
623,0,17,01400,0,0,0,0,0
624,104912,17,01500,50183,54729,399,319,1075
625,0,17,01600,0,0,0,0,0
626,0,17,01700,0,0,0,0,0
627,0,17,01800,0,0,0,0,0
628,132659,17,01900,65500,67159,543,320,1015
629,171847,17,02000,83728,88119,779,343,1345
630,210489,17,02100,104959,105530,847,288,1600
631,153201,17,02200,76322,76879,555,282,855
632,109773,17,02300,54292,55481,256,195,817
633,109301,17,02400,55101,54200,445,237,514
634,0,17,02500,0,0,0,0,0
635,0,17,02600,0,0,0,0,0
636,95314,17,02700,46547,48767,313,280,532
637,0,17,02800,0,0,0,0,0
638,0,17,02900,0,0,0,0,0
639,0,17,03001,0,0,0,0,0
640,0,17,03002,0,0,0,0,0
641,0,17,03003,0,0,0,0,0
642,0,17,03004,0,0,0,0,0
643,147648,17,03005,73441,74207,619,634,871
644,0,17,03006,0,0,0,0,0
645,0,17,03101,0,0,0,0,0
646,133924,17,03102,66133,67791,656,407,673
647,0,17,03103,0,0,0,0,0
648,0,17,03104,0,0,0,0,0
649,0,17,03201,0,0,0,0,0
650,117254,17,03202,57701,59553,175,164,702
651,119566,17,03203,60473,59093,239,192,767
652,147791,17,03204,71801,75990,703,158,488
653,125724,17,03205,60611,65113,449,355,717
